	id	doi	title	year	journal	publisher	resulting_publication_doi	pmid	pmcid	type	date	date_online	date_print	open_access_categories_v2	categories	field_citation_ratio	times_cited	relative_citation_ratio	altmetrics_score	altmetrics_id
10	pub.1125408257	10.1016/j.cell.2020.02.052	SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor	2020	Cell	Elsevier		32142651		article	2020-03-05	2020-03-05	2020-04	['oa_all' 'bronze']	"{'bra_v1': {'values': array(['Basic Science'], dtype=object), 'full': array([{'id': '4000', 'value': 'Basic Science'}], dtype=object)}, 'for_v1': {'first_level': {'codes': array(['06', '11'], dtype=object), 'full': array([{'id': '2206', 'code': '06', 'name': 'Biological Sciences'},
       {'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['0601', '1108'], dtype=object), 'full': array([{'id': '2581', 'code': '0601', 'name': 'Biochemistry and Cell Biology'},
       {'id': '3114', 'code': '1108', 'name': 'Medical Microbiology'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Biomedical'], dtype=object), 'full': array([{'id': '3900', 'value': 'Biomedical'}], dtype=object)}, 'hrcs_hc_v1': {'values': array(['Infection'], dtype=object), 'full': array([{'id': '898', 'value': 'Infection'}], dtype=object)}, 'hrcs_rac_v1': {'codes': array(['2.2'], dtype=object), 'full': array([{'id': '10202', 'code': '2.2', 'name': 'Factors relating to the physical environment'}],
      dtype=object)}, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Lung', 'Pneumonia', 'Biodefense', 'Clinical Research',
       'Emerging Infectious Diseases', 'Infectious Diseases',
       'Pneumonia & Influenza', 'Prevention', 'Vaccine Related'],
      dtype=object), 'full': array([{'id': '410', 'value': 'Lung'},
       {'id': '426', 'value': 'Pneumonia'},
       {'id': '499', 'value': 'Biodefense'},
       {'id': '507', 'value': 'Clinical Research'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '556', 'value': 'Pneumonia & Influenza'},
       {'id': '558', 'value': 'Prevention'},
       {'id': '583', 'value': 'Vaccine Related'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A05'], dtype=object), 'full': array([{'id': '30005', 'code': 'A05', 'name': 'Biological Sciences'}],
      dtype=object)}}"		7688		4350.0	77083639
11	pub.1125488589	10.1101/2020.03.05.979260	LY6E impairs coronavirus fusion and confers immune control of viral disease	2020	bioRxiv	Cold Spring Harbor Laboratory	10.1038/s41564-020-0769-y	32511345		preprint	2020-03-07	2020-03-07		['oa_all' 'green']	"{'bra_v1': {'values': array(['Basic Science'], dtype=object), 'full': array([{'id': '4000', 'value': 'Basic Science'}], dtype=object)}, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1107', '1108'], dtype=object), 'full': array([{'id': '3103', 'code': '1107', 'name': 'Immunology'},
       {'id': '3114', 'code': '1108', 'name': 'Medical Microbiology'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Biomedical'], dtype=object), 'full': array([{'id': '3900', 'value': 'Biomedical'}], dtype=object)}, 'hrcs_hc_v1': {'values': array(['Infection', 'Inflammatory and immune system'], dtype=object), 'full': array([{'id': '898', 'value': 'Infection'},
       {'id': '903', 'value': 'Inflammatory and immune system'}],
      dtype=object)}, 'hrcs_rac_v1': {'codes': array(['1.1', '2.1'], dtype=object), 'full': array([{'id': '10101', 'code': '1.1', 'name': 'Normal biological development and functioning'},
       {'id': '10201', 'code': '2.1', 'name': 'Biological and endogenous factors'}],
      dtype=object)}, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Lung', 'Pneumonia', 'Biodefense', 'Emerging Infectious Diseases',
       'Infectious Diseases', 'Pneumonia & Influenza', 'Prevention',
       'Vaccine Related'], dtype=object), 'full': array([{'id': '410', 'value': 'Lung'},
       {'id': '426', 'value': 'Pneumonia'},
       {'id': '499', 'value': 'Biodefense'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '556', 'value': 'Pneumonia & Influenza'},
       {'id': '558', 'value': 'Prevention'},
       {'id': '583', 'value': 'Vaccine Related'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A01'], dtype=object), 'full': array([{'id': '30001', 'code': 'A01', 'name': 'Clinical Medicine'}],
      dtype=object)}}"		20		261.0	77199541
12	pub.1125707354	10.1007/s00063-020-00671-6	S3-Leitlinie Sepsis – Prävention, Diagnose, Therapie und Nachsorge	2020	Medizinische Klinik - Intensivmedizin und Notfallmedizin	Springer Nature		32185422		article	2020-03-17	2020-03-17	2020-04	['closed']	{'bra_v1': None, 'for_v1': None, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': None}		7			
13	pub.1129584790	10.1515/ijpt-2020-0037	Vorwort	2020	International Journal of Practical Theology	De Gruyter				article	2020-03-20	2020-07-22	2020-03-20	['oa_all' 'bronze']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['22'], dtype=object), 'full': array([{'id': '2222', 'code': '22', 'name': 'Philosophy and Religious Studies'}],
      dtype=object)}, 'second_level': {'codes': array(['2204'], dtype=object), 'full': array([{'id': '3735', 'code': '2204', 'name': 'Religion and Religious Studies'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': None}"		0			
14	pub.1125855652	10.1007/s12181-020-00389-x	Kommentar zu den Leitlinien (2019) der European Society of Cardiology zum Management der akuten Lungenembolie	2020	Der Kardiologe	Springer Nature				article	2020-03-24	2020-03-24	2020-08	['closed']	"{'bra_v1': {'values': array(['Clinical Medicine and Science'], dtype=object), 'full': array([{'id': '4001', 'value': 'Clinical Medicine and Science'}],
      dtype=object)}, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1102', '1103'], dtype=object), 'full': array([{'id': '3048', 'code': '1102', 'name': 'Cardiorespiratory Medicine and Haematology'},
       {'id': '3053', 'code': '1103', 'name': 'Clinical Sciences'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Clinical'], dtype=object), 'full': array([{'id': '3901', 'value': 'Clinical'}], dtype=object)}, 'hrcs_hc_v1': {'values': array(['Cardiovascular'], dtype=object), 'full': array([{'id': '894', 'value': 'Cardiovascular'}], dtype=object)}, 'hrcs_rac_v1': {'codes': array(['4.2', '7.3'], dtype=object), 'full': array([{'id': '10402', 'code': '4.2', 'name': 'Evaluation of markers and technologies'},
       {'id': '10703', 'code': '7.3', 'name': 'Management and decision making'}],
      dtype=object)}, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Cardiovascular', 'Lung', 'Biomedical Imaging', 'Heart Disease',
       'Clinical Research', 'Rare Diseases'], dtype=object), 'full': array([{'id': '331', 'value': 'Cardiovascular'},
       {'id': '410', 'value': 'Lung'},
       {'id': '439', 'value': 'Biomedical Imaging'},
       {'id': '445', 'value': 'Heart Disease'},
       {'id': '507', 'value': 'Clinical Research'},
       {'id': '559', 'value': 'Rare Diseases'}], dtype=object)}, 'sdg_v1': {'codes': array(['3'], dtype=object), 'full': array([{'id': '40003', 'code': '3', 'name': 'Good Health and Well Being'}],
      dtype=object)}, 'uoa_v1': {'codes': array(['A01'], dtype=object), 'full': array([{'id': '30001', 'code': 'A01', 'name': 'Clinical Medicine'}],
      dtype=object)}}"		0			
15	pub.1125904816	10.1007/s00113-020-00790-x	Diagnostik und Therapie von Verletzungen der Brust- und Lendenwirbelsäule im Kindesalter	2020	Der Unfallchirurg	Springer Nature		32215668		article	2020-03-25	2020-03-25	2020-04	['closed']	"{'bra_v1': {'values': array(['Clinical Medicine and Science'], dtype=object), 'full': array([{'id': '4001', 'value': 'Clinical Medicine and Science'}],
      dtype=object)}, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1103'], dtype=object), 'full': array([{'id': '3053', 'code': '1103', 'name': 'Clinical Sciences'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Clinical'], dtype=object), 'full': array([{'id': '3901', 'value': 'Clinical'}], dtype=object)}, 'hrcs_hc_v1': {'values': array(['Injuries and accidents'], dtype=object), 'full': array([{'id': '904', 'value': 'Injuries and accidents'}], dtype=object)}, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Injury (total) Accidents/Adverse Effects',
       'Injury - Trauma - (Head and Spine)', 'Neurosciences',
       'Biomedical Imaging', 'Pediatric'], dtype=object), 'full': array([{'id': '314', 'value': 'Injury (total) Accidents/Adverse Effects'},
       {'id': '324', 'value': 'Injury - Trauma - (Head and Spine)'},
       {'id': '387', 'value': 'Neurosciences'},
       {'id': '439', 'value': 'Biomedical Imaging'},
       {'id': '547', 'value': 'Pediatric'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A01'], dtype=object), 'full': array([{'id': '30001', 'code': 'A01', 'name': 'Clinical Medicine'}],
      dtype=object)}}"		1			
16	pub.1125947072	10.1007/s00101-020-00759-w	Erratum zu: Management von Patienten mit chronischen Schmerzen in der Akut- und perioperativen Medizin	2020	Der Anaesthesist	Springer Nature		32221620		article	2020-03-27	2020-03-27	2020-05	['oa_all' 'bronze']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1103'], dtype=object), 'full': array([{'id': '3053', 'code': '1103', 'name': 'Clinical Sciences'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': {'codes': array(['D26'], dtype=object), 'full': array([{'id': '30026', 'code': 'D26', 'name': 'Modern Languages and Linguistics'}],
      dtype=object)}}"		0			
17	pub.1125956690	10.1101/2020.03.26.010165	Structural Basis for Potent Neutralization of Betacoronaviruses by Single-domain Camelid Antibodies	2020	bioRxiv	Cold Spring Harbor Laboratory	10.1016/j.cell.2020.04.031			preprint	2020-03-28	2020-03-28		['oa_all' 'green']	"{'bra_v1': {'values': array(['Basic Science'], dtype=object), 'full': array([{'id': '4000', 'value': 'Basic Science'}], dtype=object)}, 'for_v1': {'first_level': {'codes': array(['06'], dtype=object), 'full': array([{'id': '2206', 'code': '06', 'name': 'Biological Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['0601'], dtype=object), 'full': array([{'id': '2581', 'code': '0601', 'name': 'Biochemistry and Cell Biology'}],
      dtype=object)}}, 'hra_v1': {'values': array(['Biomedical'], dtype=object), 'full': array([{'id': '3900', 'value': 'Biomedical'}], dtype=object)}, 'hrcs_hc_v1': {'values': array(['Infection'], dtype=object), 'full': array([{'id': '898', 'value': 'Infection'}], dtype=object)}, 'hrcs_rac_v1': {'codes': array(['2.1'], dtype=object), 'full': array([{'id': '10201', 'code': '2.1', 'name': 'Biological and endogenous factors'}],
      dtype=object)}, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': {'values': array(['Biotechnology', 'Lung', 'Pneumonia', 'Biodefense',
       'Emerging Infectious Diseases', 'Immunization',
       'Infectious Diseases', 'Pneumonia & Influenza', 'Prevention',
       'Vaccine Related'], dtype=object), 'full': array([{'id': '338', 'value': 'Biotechnology'},
       {'id': '410', 'value': 'Lung'},
       {'id': '426', 'value': 'Pneumonia'},
       {'id': '499', 'value': 'Biodefense'},
       {'id': '520', 'value': 'Emerging Infectious Diseases'},
       {'id': '531', 'value': 'Immunization'},
       {'id': '533', 'value': 'Infectious Diseases'},
       {'id': '556', 'value': 'Pneumonia & Influenza'},
       {'id': '558', 'value': 'Prevention'},
       {'id': '583', 'value': 'Vaccine Related'}], dtype=object)}, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A05'], dtype=object), 'full': array([{'id': '30005', 'code': 'A05', 'name': 'Biological Sciences'}],
      dtype=object)}}"		15		446.0	78535114
18	pub.1126024433	10.7326/m20-1223	A Rush to Judgment? Rapid Reporting and Dissemination of Results and Its Consequences Regarding the Use of Hydroxychloroquine for COVID-19.	2020	Annals of Internal Medicine	American College of Physicians		32227189	7138335	article	2020-03-30	2020-03-30	2020-06-16	['oa_all' 'green']	"{'bra_v1': {'values': array(['Clinical Medicine and Science'], dtype=object), 'full': array([{'id': '4001', 'value': 'Clinical Medicine and Science'}],
      dtype=object)}, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1103'], dtype=object), 'full': array([{'id': '3053', 'code': '1103', 'name': 'Clinical Sciences'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': {'codes': array(['A05'], dtype=object), 'full': array([{'id': '30005', 'code': 'A05', 'name': 'Biological Sciences'}],
      dtype=object)}}"		133		1046.0	78616290
19	pub.1126005102	10.1016/j.jhin.2020.03.025	Inactivation of coronaviruses by heat	2020	Journal of Hospital Infection	Elsevier		32243951		article	2020-03-31	2020-03-31	2020-06	['oa_all' 'bronze']	"{'bra_v1': None, 'for_v1': {'first_level': {'codes': array(['11'], dtype=object), 'full': array([{'id': '2211', 'code': '11', 'name': 'Medical and Health Sciences'}],
      dtype=object)}, 'second_level': {'codes': array(['1103', '1117'], dtype=object), 'full': array([{'id': '3053', 'code': '1103', 'name': 'Clinical Sciences'},
       {'id': '3177', 'code': '1117', 'name': 'Public Health and Health Services'}],
      dtype=object)}}, 'hra_v1': None, 'hrcs_hc_v1': None, 'hrcs_rac_v1': None, 'icrp_cso_v1': None, 'icrp_ct_v1': None, 'rcdc_v1': None, 'sdg_v1': None, 'uoa_v1': None}"		59		45.0	78651700
